"effortId","min","max","mean"
"2020-04-24T13-17-00-Andrew Simon",10,101,25.54
"2020-07-25T14-43-00-Caitlin Robinson",10,10,10
"2021-06-04T16-55-00-Caitlin Robinson",20,20,20
"2021-06-05T18-36-00-Caitlin Robinson",30,30,30
"2021-06-14T20-52-00-Caitlin Robinson",16,30,23
"2021-06-15T14-15-00-Caitlin Robinson",20,20,20
"2021-06-18T20-08-00-Caitlin Robinson",16,16,16
"2022-06-17T08-44-00-Andrew Simon",10,10,10
"2022-08-04T19-15-00-Caitlin Robinson",10,20,12.06
"2023-05-27T14-00-00-Frank Lomer",10,1396,120.27
"2023-05-27T09-44-00-Andrew Simon",10,50,14.07
"2023-05-27T09-29-00-Andy Taggart-Smith",10,2239,231.9
"2023-05-27T09-43-00-Jackson W.F. Chu",10,10,10
"2023-05-27T09-48-00-Spencer Shields",10,17,10.63
"2023-05-28T09-30-00-Andy Taggart-Smith",10,1556,199.41
"2023-09-11T12-36-00-Caitlin Robinson",20,20,20
"2020-04-09T11-28-00-Andrew Simon",10,30,12.65
"2022-04-07T14-05-00-Caitlin Robinson",10,16,13
"2022-04-15T12-27-00-Andrew Simon",10,67,19
"2022-04-30T10-05-00-Andrew Simon",20,40,26.35
"2023-05-16T12-13-00-Adam Huggins",10,25,15
"2023-05-24T10-53-00-Adam Huggins",10,13,10.23
"2023-05-25T07-50-00-Adam Huggins",10,1989,190.27
"2023-05-26T17-41-00-Joan Septembre",10,31,19.33
"2023-05-27T15-14-00-Andrew Simon",10,50,17.64
"2023-05-31T11-05-00-Myung Jin (John) Kang",10,10,10
"2023-06-07T08-53-00-Adam Huggins",10,10,10
"2020-03-21T12-53-00-Andrew Simon",10,43,16.2
"2020-04-11T16-06-00-Andrew Simon",10,10,10
"2020-04-19T11-29-00-Andrew Simon",10,90,27.68
"2020-05-04T17-47-00-Andrew Simon",10,36,15.31
"2020-05-19T16-50-00-Andrew Simon",10,20,15.5
"2020-05-31T18-44-00-Andrew Simon",10,11,10.25
"2021-05-05T19-03-00-Andrew Simon",10,14,10.36
"2022-03-20T17-13-00-Andrew Simon",10,21,14.33
"2022-03-26T13-43-00-Caitlin Robinson",10,10,10
"2022-03-26T14-40-00-Caitlin Robinson",10,24,13.5
"2022-03-30T17-51-00-Caitlin Robinson",10,32,13.67
"2022-04-01T15-03-00-Caitlin Robinson",10,48,16.5
"2022-04-03T15-00-00-Caitlin Robinson",10,20,15
"2022-04-08T12-00-00-Caitlin Robinson",10,16,10.73
"2022-04-08T11-22-00-Caitlin Robinson",10,24,11.24
"2022-04-10T13-39-00-Andrew Simon",10,10,10
"2022-04-10T12-24-00-Andrew Simon",10,33,14.28
"2022-05-01T10-42-00-Andrew Simon",13,73,28.24
"2022-05-29T09-18-00-Andrew Simon",10,25,24.67
"2022-05-29T17-15-00-Andrew Simon",25,25,25
"2023-04-16T09-21-00-Andrew Simon",10,41,25
"2020-06-26T11-05-00-Andrew Simon",10,20,11.67
"2020-07-25T15-45-00-Caitlin Robinson",10,10,10
"2020-08-11T17-11-00-Andrew Simon",10,50,13.24
"2020-08-15T08-42-00-Andrew Simon",10,57,17.75
"2021-07-01T15-57-00-Andrew Simon",10,30,12.5
"2021-07-04T13-51-00-Andrew Simon",10,71,19.36
"2022-06-04T16-09-00-Andrew Simon",10,10,10
"2020-03-21T13-54-00-Andrew Simon",10,29,21.4
"2020-07-12T14-30-00-Hannah Carpendale",10,44,11.48
"2021-06-05T17-07-00-Caitlin Robinson",10,12,10.67
"2022-08-20T13-50-00-Andrew Simon",10,10,10
"2022-09-19T16-35-00-Caitlin Robinson",10,16,14.5
"2021-06-19T15-35-00-Caitlin Robinson",10,48,18.8
"2021-06-24T14-49-00-Caitlin Robinson",10,20,14
"2022-08-04T13-42-00-Caitlin Robinson",10,24,17
"2021-06-10T16-31-00-Caitlin Robinson",10,24,15.33
"2022-02-16T16-35-00-Caitlin Robinson",10,30,23.8
"2022-02-20T17-33-00-Caitlin Robinson",16,16,16
"2022-02-28T14-46-00-Caitlin Robinson",10,24,13.67
